year,title,role,description
-1650,Hittite Laws on bees and hives,property,"The Hittite Laws tariff theft of bees in a swarm and theft of bee hives, making apiculture property an early written legal category."
200,Mishnah on beehives and nuisance,property,"Mishnah Bava Batra treats beehives, bees, swarms, honeycombs, and mustard-near-bees conflict as sale and neighbor-law subjects."
507,Salic Law on stolen bees,property,"The Salic Law gives stolen bees their own theft title, showing that early successor-kingdom tariff law made bee property a named legal object."
533,Justinian on bee property,property,"Justinian's Institutes and Digest class bees as naturally wild: a swarm is owned by hiving it, and a departed swarm remains owned only while visible and easy to pursue."
643,Rothari on hives and bee trees,property,Rothari's Lombard code distinguishes theft from an apiary vessel from taking bees out of another person's marked tree.
1235,The Sickle Murder,witness,"Song Ci records the first forensic entomology: flies settle on the one blade bearing invisible blood, forcing a confession."
1290,Fleta on bee occupation,property,"Fleta restates the medieval English rule that bees are wild by nature and become property only through effective enclosure or visible, practicable pursuit."
1487,The slugs of Autun,defendant,An ecclesiastical court proceeds against crop-destroying slugs — one of the earliest documented insect/pest prosecutions.
1531,Chassenée's treatise,defendant,"Bartholomew Chassenée writes the first legal treatise on insect prosecution, arguing vermin are 'lay persons' entitled to counsel."
1545,Weevils of St-Julien (first trial),defendant,A vine-weevil prosecution is dismissed on the theory that the insects are a divine scourge.
1587,Weevils of St-Julien (sequel),defendant,In an eight-month trial the community offers the weevils a land preserve — an eerie foreshadowing of modern critical-habitat designation.
1619,Virginia silk-input mandate,invention,"Virginia's first assembly requires mulberry planting and silk-flax work, treating colonial silk inputs as statutory economic policy."
1658,Virginia mulberry-tree act,invention,"Colonial Virginia requires landowners to plant mulberry trees for silk production, treating silkworm infrastructure as public economic policy."
1766,Blackstone on hived bees,property,"Blackstone carries Roman bee doctrine into common-law commentary, treating hived bees as qualified property under both natural and civil law."
1855,The Bergeret case,witness,Bergeret d'Arbois publishes the first Western post-mortem-interval estimate by insect succession (a mummified infant).
1894,Mégnin's La Faune des Cadavres,witness,Jean-Pierre Mégnin systematizes the succession model of arthropod waves on remains.
1906,Evans documents the animal trials,defendant,"E.P. Evans publishes The Criminal Prosecution and Capital Punishment of Animals, the canonical English-language record of vermin trials."
1922,Honeybee Act,property,"Congress restricts honey-bee importation, the federal backbone of US apiculture law."
1935,The Buck Ruxton 'Jigsaw Murders',witness,The first UK murder conviction using entomology; larvae aged at 12–14 days.
1940,Unit 731 Ningbo attack,weapon,"Japan air-drops plague-infected fleas on Ningbo; the single attack causes roughly 1,500 deaths."
1954,US Operation Big Itch,weapon,A Cold War US program tests uninfected flea dispersal for entomological warfare.
1972,Biological Weapons Convention,weapon,The BWC treats insect vectors as covered means of delivery under its General Purpose Criterion.
1973,Endangered Species Act,protected,The ESA extends federal species protection to arthropods and other invertebrates for the first time.
1976,First insect ESA listings,protected,"The Schaus swallowtail is among the first insects listed under the Endangered Species Act, alongside the Bahama swallowtail."
1980,Diamond v. Chakrabarty,invention,"The Supreme Court holds that human-made living organisms are patentable, opening the door to engineered insects."
1997,Home Builders v. Babbitt,protected,The D.C. Circuit upholds federal power to protect a purely intrastate fly under the Commerce Clause.
2017,Rusty patched bumble bee listed,protected,The first continental-US bee gains ESA protection.
2018,Kirstin Lobato exoneration,witness,"The first exoneration based on the *absence* of blowfly colonization, proving death after dark."
2020,Oxitec mosquito release,invention,EPA permits the experimental release of genetically engineered Aedes aegypti in the Florida Keys.
2022,'Bees are fish' and the Sentience Act,protected,Almond Alliance holds bumblebees are 'fish' under CESA the same year the UK Sentience Act covers decapods and cephalopods.
2024,Murder hornet eradicated,threat,The northern giant hornet is declared eradicated from the US — the first Vespa eradication in North America.
2026,Monarch proposal and screwworm detection,protected,FWS still treats the monarch listing as proposed while a New World screwworm detection in Texas reactivates sterile-insect eradication.
